tissue,study_id,animal,group,weeks,sex,area,MHplus_int,apex_rt,log2
Colon,ST002664,90252,Control,0,Female,49086.3135967234,115882.203125,3.5647119,15.583033203303192
Colon,ST002664,90254,Training,8,Female,287804.657741845,3316101.25,1.6940943,18.134730414835683
Colon,ST002664,90258,Training,8,Female,47253.13224745856,126132.0625,3.5651089,15.528122343340335
Colon,ST002664,90259,Training,8,Female,280578.71261351166,3264823.75,1.6955045,18.098046030893148
Colon,ST002664,90267,Training,8,Female,52204.5733065668,111581.2265625,3.5356582,15.671888577105083
Colon,ST002664,90265,Control,0,Female,34363.39352365993,90622.921875,3.6263173,15.068584895013206
Colon,ST002664,90266,Control,0,Female,70835.72710480414,135265.328125,3.5639432,16.112189569185436
Colon,ST002664,90280,Training,4,Male,96690.76714260667,121763.5703125,2.3919499,16.561090515026983
Colon,ST002664,90281,Training,4,Male,280676.0994941247,3267248.0,1.6942513,18.098546693223653
Colon,ST002664,90283,Training,4,Male,31034.823718132175,80819.7421875,3.5399473,14.921600330794812
Colon,ST002664,90292,Training,4,Male,191958.74268549864,2346490.0,1.698996,17.550436743096697
Colon,ST002664,90289,Training,4,Male,36556.00981116714,77416.25,3.502441,15.157820984414641
Colon,ST002664,90406,Training,4,Female,34878.81433293557,87901.9296875,3.5077497,15.090063377661195
Colon,ST002664,90410,Training,4,Female,192296.6978478775,2338166.5,1.6991255,17.552974463118808
Colon,ST002664,90412,Training,4,Female,231608.67825912414,2726341.25,1.6870932,17.821329785824577
Colon,ST002664,90416,Training,4,Female,233803.19964523456,2543513.25,1.7004635,17.834935148022062
Colon,ST002664,90421,Training,1,Male,39254.63363318711,76757.0,3.5349683,15.260575339924657
Colon,ST002664,90420,Training,4,Female,29506.190517860137,88813.828125,3.5816336,14.84873004902287
Colon,ST002664,90422,Training,1,Male,51732.90647109732,88153.71875,1.8806026,15.658794627221912
Colon,ST002664,90423,Training,1,Male,45720.138556428945,75239.546875,2.4051238,15.480542155244667
Colon,ST002664,90426,Training,1,Male,257169.4663004529,1954103.875,1.700644,17.972359836263298
Colon,ST002664,90430,Training,1,Male,26911.678571229462,111335.8203125,3.5675617,14.715944759039978
Colon,ST002664,90439,Training,2,Male,340349.95086122316,4884165.0,1.6916752,18.376659375875946
Colon,ST002664,90441,Training,2,Male,31086.007321470635,59888.703125,3.5711422,14.923977708759184
Colon,ST002664,90444,Training,2,Male,39625.86730622206,82039.15625,1.8775374,15.274154891954606
Colon,ST002664,90449,Training,2,Male,54258.626227935594,283416.625,5.0123861,15.727564900091553
Colon,ST002664,90450,Training,2,Male,29091.278537613565,253798.09375,1.7038687,14.828299082633976
Colon,ST002664,90559,Training,1,Female,232414.40784173005,2708492.75,1.7005654,17.826339981550653
Colon,ST002664,90567,Training,1,Female,38802.798802522666,121043.703125,4.8859189,15.243873095696252
Colon,ST002664,90564,Training,1,Female,32555.019857629955,134108.96875,1.6891763,14.990592398065592
Colon,ST002664,90560,Training,1,Female,29827.87750899276,76451.1796875,3.5710654,14.864373701634424
Colon,ST002664,90571,Training,1,Female,35788.66798842687,73112.296875,3.5640674,15.127215228912801
Colon,ST002664,90576,Training,2,Female,44446.45207643383,89454.421875,3.5587995,15.439780640538734
Colon,ST002664,90578,Training,2,Female,67007.72602012566,365876.0,5.0000419,16.032039828079714
Colon,ST002664,90581,Training,2,Female,39681.670802815286,100915.7578125,4.9053824,15.27618515144835
Colon,ST002664,90585,Training,2,Female,30337.18382350882,65565.328125,3.5681031,14.888799547124199
Colon,ST002664,90587,Training,2,Female,24596.69973962114,75285.015625,4.9026101,14.586177134598135
Cortex,ST002640,90218,Training,8,Male,58635.60596841442,227675.9375,3.5999301,15.83948937447586
Cortex,ST002640,90217,Control,0,Male,35098.4469621838,109526.5234375,3.5427084,15.099119575050077
Cortex,ST002640,90222,Training,8,Male,160674.65842813192,1395432.5,5.0368537,17.293782879846574
Cortex,ST002640,90227,Training,8,Male,122676.3242402825,988574.5625,5.0308382,16.904497319224465
