tissue,platform,study_id,tag,group,timepoint,sex,animal,weeks,area,ppm
Brown Adipose,RP-pos,ST002687,bio_90229016906,Control,8 weeks of training or control time,Male,90229016906,0,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90232016906,Control,8 weeks of training or control time,Male,90232016906,0,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90237016906,Control,8 weeks of training or control time,Male,90237016906,0,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90239016906,Control,8 weeks of training or control time,Male,90239016906,0,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90251016906,Training,8 weeks of training or control time,Female,90251016906,8,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90252016906,Control,8 weeks of training or control time,Female,90252016906,0,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90254016906,Training,8 weeks of training or control time,Female,90254016906,8,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90258016906,Training,8 weeks of training or control time,Female,90258016906,8,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90265016906,Control,8 weeks of training or control time,Female,90265016906,0,2.5530222524006736,0.21776938678393795
Brown Adipose,RP-pos,ST002687,bio_90266016906,Control,8 weeks of training or control time,Female,90266016906,0,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90267016906,Training,8 weeks of training or control time,Female,90267016906,8,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90280016906,Training,4 weeks of training,Male,90280016906,4,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90281016906,Training,4 weeks of training,Male,90281016906,4,2.1214620485941778,-0.3493061685787319
Brown Adipose,RP-pos,ST002687,bio_90283016906,Training,4 weeks of training,Male,90283016906,4,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90289016906,Training,4 weeks of training,Male,90289016906,4,1.9357361460368032,-5.2146810982081835
Brown Adipose,RP-pos,ST002687,bio_90292016906,Training,4 weeks of training,Male,90292016906,4,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90406016906,Training,4 weeks of training,Female,90406016906,4,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90410016906,Training,4 weeks of training,Female,90410016906,4,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90412016906,Training,4 weeks of training,Female,90412016906,4,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90416016906,Training,4 weeks of training,Female,90416016906,4,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90420016906,Training,4 weeks of training,Female,90420016906,4,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90421016906,Training,1 week of training or control time,Male,90421016906,1,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90422016906,Training,1 week of training or control time,Male,90422016906,1,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90423016906,Training,1 week of training or control time,Male,90423016906,1,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90426016906,Training,1 week of training or control time,Male,90426016906,1,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90430016906,Training,1 week of training or control time,Male,90430016906,1,4.065314228820795,9.670925861254831
Brown Adipose,RP-pos,ST002687,bio_90439016906,Training,2 weeks of training,Male,90439016906,2,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90441016906,Training,2 weeks of training,Male,90441016906,2,2.3326125656128163,-3.413814665114615
Brown Adipose,RP-pos,ST002687,bio_90444016906,Training,2 weeks of training,Male,90444016906,2,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90449016906,Training,2 weeks of training,Male,90449016906,2,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90450016906,Training,2 weeks of training,Male,90450016906,2,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90559016906,Training,1 week of training or control time,Female,90559016906,1,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90560016906,Training,1 week of training or control time,Female,90560016906,1,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90564016906,Training,1 week of training or control time,Female,90564016906,1,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90567016906,Training,1 week of training or control time,Female,90567016906,1,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90571016906,Training,1 week of training or control time,Female,90571016906,1,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90576016906,Training,2 weeks of training,Female,90576016906,2,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90578016906,Training,2 weeks of training,Female,90578016906,2,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90581016906,Training,2 weeks of training,Female,90581016906,2,0.0,nan
Brown Adipose,RP-pos,ST002687,bio_90585016906,Training,2 weeks of training,Female,90585016906,2,2.264399300130231,-1.8718214359644576
Brown Adipose,RP-pos,ST002687,bio_90587016906,Training,2 weeks of training,Female,90587016906,2,0.0,nan
Brown Adipose,RP-pos,ST002687,blank_0,Blank,,,blank_0,,0.0,nan
Brown Adipose,RP-pos,ST002687,blank_1,Blank,,,blank_1,,0.0,nan
Brown Adipose,RP-pos,ST002687,blank_2,Blank,,,blank_2,,0.0,nan
Brown Adipose,RP-pos,ST002687,blank_3,Blank,,,blank_3,,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90217015509,Control,8 weeks of training or control time,Male,90217015509,0,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90218015509,Training,8 weeks of training or control time,Male,90218015509,8,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90222015509,Training,8 weeks of training or control time,Male,90222015509,8,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90223015509,Training,8 weeks of training or control time,Male,90223015509,8,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90225015509,Training,8 weeks of training or control time,Male,90225015509,8,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90227015509,Training,8 weeks of training or control time,Male,90227015509,8,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90229015509,Control,8 weeks of training or control time,Male,90229015509,0,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90232015509,Control,8 weeks of training or control time,Male,90232015509,0,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90237015509,Control,8 weeks of training or control time,Male,90237015509,0,3.619284248352087,1.4002329720780937
Gastrocnemius,RP-neg,ST002646,bio_90239015509,Control,8 weeks of training or control time,Male,90239015509,0,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90245015509,Control,8 weeks of training or control time,Female,90245015509,0,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90248015509,Control,8 weeks of training or control time,Female,90248015509,0,2.1051015551248833,-4.981139494959451
Gastrocnemius,RP-neg,ST002646,bio_90251015509,Training,8 weeks of training or control time,Female,90251015509,8,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90252015509,Control,8 weeks of training or control time,Female,90252015509,0,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90254015509,Training,8 weeks of training or control time,Female,90254015509,8,1.2737866615295197,3.7263526401923266
Gastrocnemius,RP-neg,ST002646,bio_90258015509,Training,8 weeks of training or control time,Female,90258015509,8,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90259015509,Training,8 weeks of training or control time,Female,90259015509,8,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90265015509,Control,8 weeks of training or control time,Female,90265015509,0,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90266015509,Control,8 weeks of training or control time,Female,90266015509,0,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90267015509,Training,8 weeks of training or control time,Female,90267015509,8,3.3766339248657564,-3.14156281437021
Gastrocnemius,RP-neg,ST002646,bio_90280015509,Training,4 weeks of training,Male,90280015509,4,2.374248436482708,8.963366081827663
Gastrocnemius,RP-neg,ST002646,bio_90281015509,Training,4 weeks of training,Male,90281015509,4,1.941639893086719,3.2710750334232634
Gastrocnemius,RP-neg,ST002646,bio_90283015509,Training,4 weeks of training,Male,90283015509,4,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90289015509,Training,4 weeks of training,Male,90289015509,4,0.8914805252075046,0.436383181709098
Gastrocnemius,RP-neg,ST002646,bio_90292015509,Training,4 weeks of training,Male,90292015509,4,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90406015509,Training,4 weeks of training,Female,90406015509,4,3.110876222228952,-7.734059461659968
Gastrocnemius,RP-neg,ST002646,bio_90410015509,Training,4 weeks of training,Female,90410015509,4,2.0569310357411776,0.13623824168062892
Gastrocnemius,RP-neg,ST002646,bio_90412015509,Training,4 weeks of training,Female,90412015509,4,4.326080865478559,-5.8414925008023175
Gastrocnemius,RP-neg,ST002646,bio_90416015509,Training,4 weeks of training,Female,90416015509,4,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90420015509,Training,4 weeks of training,Female,90420015509,4,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90421015509,Training,1 week of training or control time,Male,90421015509,1,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90422015509,Training,1 week of training or control time,Male,90422015509,1,1.7368111391703462,8.563420593393104
Gastrocnemius,RP-neg,ST002646,bio_90423015509,Training,1 week of training or control time,Male,90423015509,1,3.3211433725992285,-9.304538433292977
Gastrocnemius,RP-neg,ST002646,bio_90426015509,Training,1 week of training or control time,Male,90426015509,1,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90430015509,Training,1 week of training or control time,Male,90430015509,1,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90439015509,Training,2 weeks of training,Male,90439015509,2,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90441015509,Training,2 weeks of training,Male,90441015509,2,5.820160679880749,7.350312457944133
Gastrocnemius,RP-neg,ST002646,bio_90444015509,Training,2 weeks of training,Male,90444015509,2,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90449015509,Training,2 weeks of training,Male,90449015509,2,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90450015509,Training,2 weeks of training,Male,90450015509,2,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90559015509,Training,1 week of training or control time,Female,90559015509,1,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90560015509,Training,1 week of training or control time,Female,90560015509,1,3.281314231618257,-7.4256029664483965
Gastrocnemius,RP-neg,ST002646,bio_90564015509,Training,1 week of training or control time,Female,90564015509,1,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90567015509,Training,1 week of training or control time,Female,90567015509,1,3.1420588999430654,-9.359190097427454
Gastrocnemius,RP-neg,ST002646,bio_90571015509,Training,1 week of training or control time,Female,90571015509,1,2.2541428054809796,-6.0956987516582375
Gastrocnemius,RP-neg,ST002646,bio_90576015509,Training,2 weeks of training,Female,90576015509,2,0.9019019293467535,8.466300718879632
Gastrocnemius,RP-neg,ST002646,bio_90578015509,Training,2 weeks of training,Female,90578015509,2,2.7716185058594025,-8.69962929365598
Gastrocnemius,RP-neg,ST002646,bio_90581015509,Training,2 weeks of training,Female,90581015509,2,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90585015509,Training,2 weeks of training,Female,90585015509,2,0.0,nan
Gastrocnemius,RP-neg,ST002646,bio_90587015509,Training,2 weeks of training,Female,90587015509,2,0.0,nan
Gastrocnemius,RP-neg,ST002646,blank_0,Blank,,,blank_0,,0.0,nan
Gastrocnemius,RP-neg,ST002646,blank_1,Blank,,,blank_1,,3.178696090698274,-2.6281110855545715
