tissue,mode,sex,week,animal,area,log2
Brown Adipose,RP-neg,Male,2,90450016906,1.8241599967956723,0.8672322736147688
Brown Adipose,RP-neg,Male,4,90280016906,2.495931970214869,1.31957861225658
Brown Adipose,RP-neg,Male,4,90281016906,0.0,
Brown Adipose,RP-neg,Male,4,90283016906,0.0,
Brown Adipose,RP-neg,Male,4,90289016906,0.0,
Brown Adipose,RP-neg,Male,4,90292016906,2.06736361414588,1.0477921566344863
Brown Adipose,RP-neg,Male,8,90222016906,6.460479838307638,2.691641321983928
Brown Adipose,RP-neg,Male,8,90225016906,0.0,
Brown Adipose,RP-neg,Male,8,90227016906,5.682503869120185,2.5065267613499604
Brown Adipose,RP-pos,Female,0,90252016906,0.0,
Brown Adipose,RP-pos,Female,0,90265016906,2.5530222524006736,1.3522061124760114
Brown Adipose,RP-pos,Female,0,90266016906,0.0,
Brown Adipose,RP-pos,Female,1,90559016906,0.0,
Brown Adipose,RP-pos,Female,1,90560016906,0.0,
Brown Adipose,RP-pos,Female,1,90564016906,0.0,
Brown Adipose,RP-pos,Female,1,90567016906,0.0,
Brown Adipose,RP-pos,Female,1,90571016906,0.0,
Brown Adipose,RP-pos,Female,2,90576016906,0.0,
Brown Adipose,RP-pos,Female,2,90578016906,0.0,
Brown Adipose,RP-pos,Female,2,90581016906,0.0,
Brown Adipose,RP-pos,Female,2,90585016906,2.264399300130231,1.1791283828708974
Brown Adipose,RP-pos,Female,2,90587016906,0.0,
Brown Adipose,RP-pos,Female,4,90406016906,0.0,
Brown Adipose,RP-pos,Female,4,90410016906,0.0,
Brown Adipose,RP-pos,Female,4,90412016906,0.0,
Brown Adipose,RP-pos,Female,4,90416016906,0.0,
Brown Adipose,RP-pos,Female,4,90420016906,0.0,
Brown Adipose,RP-pos,Female,8,90251016906,0.0,
Brown Adipose,RP-pos,Female,8,90254016906,0.0,
Brown Adipose,RP-pos,Female,8,90258016906,0.0,
Brown Adipose,RP-pos,Female,8,90267016906,0.0,
Brown Adipose,RP-pos,Male,0,90217016906,0.0,
Brown Adipose,RP-pos,Male,0,90229016906,0.0,
Brown Adipose,RP-pos,Male,0,90232016906,0.0,
Brown Adipose,RP-pos,Male,0,90237016906,0.0,
Brown Adipose,RP-pos,Male,0,90239016906,0.0,
Brown Adipose,RP-pos,Male,1,90421016906,0.0,
Brown Adipose,RP-pos,Male,1,90422016906,0.0,
Brown Adipose,RP-pos,Male,1,90423016906,0.0,
Brown Adipose,RP-pos,Male,1,90426016906,0.0,
Brown Adipose,RP-pos,Male,1,90430016906,4.065314228820795,2.023366869850285
Brown Adipose,RP-pos,Male,2,90439016906,0.0,
Brown Adipose,RP-pos,Male,2,90441016906,2.3326125656128163,1.2219467033419342
Brown Adipose,RP-pos,Male,2,90444016906,0.0,
Brown Adipose,RP-pos,Male,2,90449016906,0.0,
Brown Adipose,RP-pos,Male,2,90450016906,0.0,
Brown Adipose,RP-pos,Male,4,90280016906,0.0,
Brown Adipose,RP-pos,Male,4,90281016906,2.1214620485941778,1.085058870099443
Brown Adipose,RP-pos,Male,4,90283016906,0.0,
Brown Adipose,RP-pos,Male,4,90289016906,1.9357361460368032,0.9528823168964079
Brown Adipose,RP-pos,Male,4,90292016906,0.0,
Brown Adipose,RP-pos,Male,8,90222016906,1.7714550760905126,0.8249348793296476
Brown Adipose,RP-pos,Male,8,90225016906,0.0,
Colon,HILIC-pos,Female,0,90245,52867.07857111705,15.69008198530344
Colon,HILIC-pos,Female,0,90248,252398.8255596416,17.94534567174926
Colon,HILIC-pos,Female,0,90252,49086.3135967234,15.583033203303192
Colon,HILIC-pos,Female,0,90265,34363.39352365993,15.068584895013206
Colon,HILIC-pos,Female,0,90266,70835.72710480414,16.112189569185436
Colon,HILIC-pos,Female,1,90559,232414.40784173005,17.826339981550653
Colon,HILIC-pos,Female,1,90567,38802.798802522666,15.243873095696252
Colon,HILIC-pos,Female,1,90564,32555.019857629955,14.990592398065592
Colon,HILIC-pos,Female,1,90560,29827.87750899276,14.864373701634424
Colon,HILIC-pos,Female,1,90571,35788.66798842687,15.1272152289128
Colon,HILIC-pos,Female,2,90576,44446.45207643383,15.439780640538734
Colon,HILIC-pos,Female,2,90578,67007.72602012566,16.032039828079714
Colon,HILIC-pos,Female,2,90581,39681.670802815286,15.27618515144835
Colon,HILIC-pos,Female,2,90585,30337.18382350882,14.8887995471242
Colon,HILIC-pos,Female,2,90587,24596.69973962114,14.586177134598136
Colon,HILIC-pos,Female,4,90406,34878.81433293557,15.090063377661195
Colon,HILIC-pos,Female,4,90410,192296.6978478775,17.552974463118808
Colon,HILIC-pos,Female,4,90412,231608.67825912416,17.821329785824577
Colon,HILIC-pos,Female,4,90416,233803.19964523456,17.834935148022062
Colon,HILIC-pos,Female,4,90420,29506.190517860137,14.84873004902287
Colon,HILIC-pos,Female,8,90251,66022.3385632681,16.01066662041037
Colon,HILIC-pos,Female,8,90254,287804.657741845,18.134730414835683
Colon,HILIC-pos,Female,8,90258,47253.13224745856,15.528122343340335
Colon,HILIC-pos,Female,8,90259,280578.71261351166,18.098046030893148
Colon,HILIC-pos,Female,8,90267,52204.5733065668,15.671888577105085
Colon,HILIC-pos,Male,0,90217,60024.581844902204,15.873265827653
Colon,HILIC-pos,Male,0,90232,216632.22158004137,17.724888317828288
Colon,HILIC-pos,Male,0,90229,46889.15968450482,15.516966803844676
Colon,HILIC-pos,Male,0,90237,37900.14229990542,15.20991564469997
Colon,HILIC-pos,Male,0,90239,193457.3425388776,17.561655960743906
Colon,HILIC-pos,Male,1,90421,39254.63363318711,15.260575339924657
Colon,HILIC-pos,Male,1,90422,51732.90647109732,15.658794627221912
Colon,HILIC-pos,Male,1,90423,45720.138556428945,15.480542155244668
Colon,HILIC-pos,Male,1,90426,257169.4663004529,17.972359836263298
Colon,HILIC-pos,Male,1,90430,26911.678571229462,14.715944759039978
Colon,HILIC-pos,Male,2,90439,340349.95086122316,18.376659375875946
Colon,HILIC-pos,Male,2,90441,31086.007321470635,14.923977708759184
Colon,HILIC-pos,Male,2,90444,39625.86730622206,15.274154891954606
Colon,HILIC-pos,Male,2,90449,54258.626227935594,15.727564900091553
Colon,HILIC-pos,Male,2,90450,29091.278537613565,14.828299082633976
Colon,HILIC-pos,Male,4,90280,96690.76714260668,16.561090515026983
Colon,HILIC-pos,Male,4,90281,280676.0994941247,18.098546693223653
Colon,HILIC-pos,Male,4,90283,31034.823718132175,14.921600330794812
Colon,HILIC-pos,Male,4,90292,191958.74268549864,17.550436743096697
Colon,HILIC-pos,Male,4,90289,36556.00981116714,15.15782098441464
Colon,HILIC-pos,Male,8,90218,202433.16767931683,17.62708616232571
Colon,HILIC-pos,Male,8,90227,75740.71789620077,16.208781475189266
Colon,HILIC-pos,Male,8,90222,50777.65110957796,15.6319060393844
Colon,HILIC-pos,Male,8,90223,209758.1039079298,17.678367024038415
Colon,HILIC-pos,Male,8,90225,43287.21997609104,15.40165352924515
Cortex,HILIC-pos,Female,0,90248,33867.88998893784,15.047630487511745
Cortex,HILIC-pos,Female,0,90252,50608.05908778542,15.627079524946836
Cortex,HILIC-pos,Female,0,90245,76548.72364691527,16.22409070236116
Cortex,HILIC-pos,Female,0,90265,33316.57598937444,15.02395251923918
Cortex,HILIC-pos,Female,0,90266,30860.23282172123,14.913461325757371
Cortex,HILIC-pos,Female,1,90559,35724.431819904734,15.12462344567462
Cortex,HILIC-pos,Female,1,90560,50972.04871572163,15.637418720091391
Cortex,HILIC-pos,Female,1,90567,32478.163391626847,14.987182431385698
Cortex,HILIC-pos,Female,1,90564,146562.3977051686,17.161155485120364
Cortex,HILIC-pos,Female,1,90571,29884.838210267662,14.867126111910547
Cortex,HILIC-pos,Female,2,90576,481014.7723193075,18.87572167534388
Cortex,HILIC-pos,Female,2,90578,29765.38395471155,14.861347883893153
Cortex,HILIC-pos,Female,2,90581,28195.815434621887,14.783193446440215
Cortex,HILIC-pos,Female,2,90587,35567.184027637355,15.11825913550156
Cortex,HILIC-pos,Female,2,90585,30452.47378105877,14.894271808558004
Cortex,HILIC-pos,Female,4,90406,152880.01760302353,17.222040323980682
Cortex,HILIC-pos,Female,4,90410,50456.996735364766,15.622766717374962
Cortex,HILIC-pos,Female,4,90412,109930.92564683022,16.746237775201013
Cortex,HILIC-pos,Female,4,90416,57509.68995397802,15.811517439445613
Cortex,HILIC-pos,Female,4,90420,134131.19752689046,17.033285306628265
Cortex,HILIC-pos,Female,8,90251,150700.71559467632,17.201326741952773
Cortex,HILIC-pos,Female,8,90254,40634.69405273277,15.31042441149315
Cortex,HILIC-pos,Female,8,90258,68509.25945541667,16.064011370069665
Cortex,HILIC-pos,Female,8,90259,45098.270214934426,15.460784478214254
Cortex,HILIC-pos,Female,8,90267,140072.37399232836,17.09581292032451
Cortex,HILIC-pos,Male,0,90217,35098.4469621838,15.099119575050077
Cortex,HILIC-pos,Male,0,90229,52375.77866040108,15.676612166784324
Cortex,HILIC-pos,Male,0,90232,94940.0861270282,16.534729738090547
Cortex,HILIC-pos,Male,0,90237,106928.13511485004,16.706281981845954
Cortex,HILIC-pos,Male,0,90239,121950.93413862635,16.895941283591835
Cortex,HILIC-pos,Male,1,90421,78198.32352974989,16.254850057910183
Cortex,HILIC-pos,Male,1,90422,48328.2794617532,15.560580013748556
Cortex,HILIC-pos,Male,1,90423,82715.93660199546,16.3358776949395
Cortex,HILIC-pos,Male,1,90426,339481.7076220799,18.372974313902706
Cortex,HILIC-pos,Male,1,90430,41143.10688238732,15.328363121262829
Cortex,HILIC-pos,Male,2,90444,32516.425282200576,14.988881041909709
Cortex,HILIC-pos,Male,2,90439,107981.82532355373,16.720428983843394
Cortex,HILIC-pos,Male,2,90441,36719.250418324154,15.16424898762567
Cortex,HILIC-pos,Male,2,90449,84585.82927212323,16.368128367348096
Cortex,HILIC-pos,Male,2,90450,99531.86027971956,16.602870787719226
Cortex,HILIC-pos,Male,4,90281,48307.28109347672,15.559953034568592
Cortex,HILIC-pos,Male,4,90280,272963.47775513853,18.058348407316913
Cortex,HILIC-pos,Male,4,90283,44507.156033423766,15.441749696390824
Cortex,HILIC-pos,Male,4,90289,83948.43608366008,16.357215828292883
Cortex,HILIC-pos,Male,4,90292,224581.730929289,17.77688104790236
Cortex,HILIC-pos,Male,8,90218,58635.60596841442,15.83948937447586
Cortex,HILIC-pos,Male,8,90222,160674.65842813192,17.293782879846574
Cortex,HILIC-pos,Male,8,90227,122676.3242402825,16.904497319224465
Cortex,HILIC-pos,Male,8,90223,268136.8133854225,18.03260977970493
Cortex,HILIC-pos,Male,8,90225,89609.21569689385,16.451359490811246
Gastrocnemius,RP-neg,Female,0,90245015509,0.0,
Gastrocnemius,RP-neg,Female,0,90248015509,2.1051015551248833,1.0738898340236993
Gastrocnemius,RP-neg,Female,0,90252015509,0.0,
Gastrocnemius,RP-neg,Female,0,90265015509,0.0,
Gastrocnemius,RP-neg,Female,0,90266015509,0.0,
Gastrocnemius,RP-neg,Female,1,90559015509,0.0,
Gastrocnemius,RP-neg,Female,1,90560015509,3.281314231618257,1.714273758650549
Gastrocnemius,RP-neg,Female,1,90564015509,0.0,
Gastrocnemius,RP-neg,Female,1,90567015509,3.1420588999430654,1.6517102251449391
Gastrocnemius,RP-neg,Female,1,90571015509,2.2541428054809796,1.1725789166782778
Gastrocnemius,RP-neg,Female,2,90576015509,0.9019019293467536,-0.14895752807770735
Gastrocnemius,RP-neg,Female,2,90578015509,2.7716185058594025,1.470728694134213
Gastrocnemius,RP-neg,Female,2,90581015509,0.0,
Gastrocnemius,RP-neg,Female,2,90585015509,0.0,
Gastrocnemius,RP-neg,Female,2,90587015509,0.0,
Gastrocnemius,RP-neg,Female,4,90406015509,3.110876222228952,1.6373209930307573
Gastrocnemius,RP-neg,Female,4,90410015509,2.0569310357411776,1.0404934243625579
Gastrocnemius,RP-neg,Female,4,90412015509,4.326080865478559,2.113060633199687
Gastrocnemius,RP-neg,Female,4,90416015509,0.0,
Gastrocnemius,RP-neg,Female,4,90420015509,0.0,
Gastrocnemius,RP-neg,Female,8,90251015509,0.0,
Gastrocnemius,RP-neg,Female,8,90254015509,1.2737866615295197,0.3491236699598227
Gastrocnemius,RP-neg,Female,8,90258015509,0.0,
Gastrocnemius,RP-neg,Female,8,90259015509,0.0,
Gastrocnemius,RP-neg,Female,8,90267015509,3.3766339248657564,1.755585779165232
Gastrocnemius,RP-neg,Male,0,90217015509,0.0,
Gastrocnemius,RP-neg,Male,0,90229015509,0.0,
Gastrocnemius,RP-neg,Male,0,90232015509,0.0,
Gastrocnemius,RP-neg,Male,0,90237015509,3.619284248352087,1.8557044173496084
Gastrocnemius,RP-neg,Male,0,90239015509,0.0,
Gastrocnemius,RP-neg,Male,1,90421015509,0.0,
Gastrocnemius,RP-neg,Male,1,90422015509,1.7368111391703462,0.7964408839297459
Gastrocnemius,RP-neg,Male,1,90423015509,3.3211433725992285,1.731680004825919
Gastrocnemius,RP-neg,Male,1,90426015509,0.0,
Gastrocnemius,RP-neg,Male,1,90430015509,0.0,
Gastrocnemius,RP-neg,Male,2,90439015509,0.0,
Gastrocnemius,RP-neg,Male,2,90441015509,5.820160679880749,2.5410589828358314
Gastrocnemius,RP-neg,Male,2,90444015509,0.0,
Gastrocnemius,RP-neg,Male,2,90449015509,0.0,
Gastrocnemius,RP-neg,Male,2,90450015509,0.0,
Gastrocnemius,RP-neg,Male,4,90280015509,2.374248436482708,1.2474709035260954
Gastrocnemius,RP-neg,Male,4,90281015509,1.941639893086719,0.9572756556325461
Gastrocnemius,RP-neg,Male,4,90283015509,0.0,
Gastrocnemius,RP-neg,Male,4,90289015509,0.8914805252075046,-0.16572481301402994
Gastrocnemius,RP-neg,Male,4,90292015509,0.0,
Gastrocnemius,RP-neg,Male,8,90218015509,0.0,
Gastrocnemius,RP-neg,Male,8,90222015509,0.0,
Gastrocnemius,RP-neg,Male,8,90223015509,0.0,
Gastrocnemius,RP-neg,Male,8,90225015509,0.0,
Gastrocnemius,RP-neg,Male,8,90227015509,0.0,
Gastrocnemius,RP-pos,Female,0,90245015509,0.0,
Gastrocnemius,RP-pos,Female,0,90248015509,7.355809943644207,2.8788842044773917
Gastrocnemius,RP-pos,Female,0,90252015509,5.31387750244142,2.409764970647905
Gastrocnemius,RP-pos,Female,0,90265015509,0.0,
Gastrocnemius,RP-pos,Female,0,90266015509,0.0,
Gastrocnemius,RP-pos,Female,1,90559015509,5.549965369669652,2.4724787694516213
Gastrocnemius,RP-pos,Female,1,90560015509,2.7017539881387895,1.4338963140971497
Gastrocnemius,RP-pos,Female,1,90564015509,7.049569992319733,2.8175352590904303
Gastrocnemius,RP-pos,Female,1,90567015509,5.910904337565163,2.5633788721135664
Gastrocnemius,RP-pos,Female,1,90571015509,2.5286803680420173,1.3383846880159451
Gastrocnemius,RP-pos,Female,2,90576015509,0.0,
Gastrocnemius,RP-pos,Female,2,90578015509,3.400741040039006,1.7658491517453643
Gastrocnemius,RP-pos,Female,2,90581015509,4.747202623240165,2.247077629144866
Gastrocnemius,RP-pos,Female,2,90585015509,2.264473918660444,1.1791759230771721
Gastrocnemius,RP-pos,Female,2,90587015509,1.890213385772724,0.9185491091653205
Gastrocnemius,RP-pos,Female,4,90406015509,7.914897424570679,2.98457065345505
Gastrocnemius,RP-pos,Female,4,90410015509,2.110099600728374,1.077311098499066
Gastrocnemius,RP-pos,Female,4,90412015509,2.955369936116487,1.5633387299277672
Gastrocnemius,RP-pos,Female,4,90416015509,7.427246526591011,2.892827465315482
Gastrocnemius,RP-pos,Female,4,90420015509,2.558569353485116,1.3553373400796165
Gastrocnemius,RP-pos,Female,8,90251015509,0.0,
Gastrocnemius,RP-pos,Female,8,90254015509,3.863009814707421,1.9497253430142492
